country,country_code,year,total_generation,total_co2,total_certified,perc_tracked_total,perc_residual,perc_tracked_renewables,perc_green,residualmix_gco2kwh,methodology
Afghanistan,AFG,2020,1.18,110.0,0,0.0,100.0,0.0,89.83050847457628,,GO
Afghanistan,AFG,2021,1.06,120.0,0,0.0,100.0,0.0,87.73584905660377,,GO
Afghanistan,AFG,2022,0.96,120.0,0,0.0,100.0,0.0,86.45833333333334,,GO
Afghanistan,AFG,2023,0.97,120.0,0,0.0,100.0,0.0,86.5979381443299,,GO
Albania,ALB,2020,5.3100000000000005,130.0,0,0.0,100.0,0.0,100.0,,GO
Albania,ALB,2021,8.94,210.0,0,0.0,100.0,0.0,100.0,,GO
Albania,ALB,2022,6.97,170.0,0,0.0,100.0,0.0,100.0,,GO
Albania,ALB,2023,9.010000000000002,220.0,0,0.0,100.0,0.0,100.0,,GO
Algeria,DZA,2020,79.36999999999999,50210.0,0,0.0,100.0,0.0,1.108731258661963,,GO
Algeria,DZA,2021,85.60000000000001,54230.0,0,0.0,100.0,0.0,0.9462616822429906,,GO
Algeria,DZA,2022,91.47,57960.0,0,0.0,100.0,0.0,0.9401989723406581,,GO
Algeria,DZA,2023,96.3,61020.0,0,0.0,100.0,0.0,0.944963655244029,,GO
American Samoa,ASM,2020,0.17,110.0,0,0.0,100.0,,0.0,,GO
American Samoa,ASM,2021,0.17,110.0,0,0.0,100.0,,0.0,,GO
American Samoa,ASM,2022,0.18000000000000002,110.0,0,0.0,100.0,0.0,5.555555555555555,,GO
American Samoa,ASM,2023,0.17,110.0,0,0.0,100.0,,0.0,,GO
Angola,AGO,2020,16.81,2880.0,0,0.0,100.0,0.0,75.60975609756099,,GO
Angola,AGO,2021,16.85,2910.0,0,0.0,100.0,0.0,75.43026706231454,,GO
Angola,AGO,2022,17.310000000000002,2980.0,0,0.0,100.0,0.0,75.5632582322357,,GO
Angola,AGO,2023,17.94,3000.0,0,0.0,100.0,0.0,76.42140468227426,,GO
Antigua and Barbuda,ATG,2020,0.35000000000000003,220.0,0,0.0,100.0,0.0,5.714285714285714,,GO
Antigua and Barbuda,ATG,2021,0.35000000000000003,220.0,0,0.0,100.0,0.0,5.714285714285714,,GO
Antigua and Barbuda,ATG,2022,0.36000000000000004,220.0,0,0.0,100.0,0.0,5.555555555555555,,GO
Antigua and Barbuda,ATG,2023,0.36000000000000004,220.0,0,0.0,100.0,0.0,5.555555555555555,,GO
Argentina,ARG,2020,144.64000000000001,57090.0,0.052249000000000004,0.03612347898230089,99.9638765210177,0.1426788640087384,25.31803097345133,,I-REC
Argentina,ARG,2021,153.15,62330.0,0.682293,0.4455063663075416,99.55449363369246,1.84204373650108,24.185439111981715,,I-REC
Argentina,ARG,2022,145.60999999999999,57180.0,0.865628309701,0.5944841080289816,99.40551589197102,2.047855002841259,29.02959961541103,,I-REC
Argentina,ARG,2023,148.56,52130.0,1.909102485203,1.2850716782464997,98.7149283217535,3.696229400199419,34.76709746903609,,I-REC
Argentina,ARG,2024,152.51,52590.0,2.3809937220729998,1.56120498463904,98.43879501536097,4.5404151832055675,34.38463051603174,,I-REC
Armenia,ARM,2020,7.64,1920.0,0,0.0,100.0,0.0,25.13089005235602,,GO
Armenia,ARM,2021,7.72,2050.0,0,0.0,100.0,0.0,32.2538860103627,,GO
Armenia,ARM,2022,9.879999999999999,2380.0,0,0.0,100.0,0.0,34.10931174089069,,GO
Armenia,ARM,2023,8.65,2270.0,0,0.0,100.0,0.0,27.97687861271676,,GO
Armenia,ARM,2024,8.870000000000001,2160.0,0,0.0,100.0,0.0,30.101465614430662,,GO
Aruba,ABW,2020,0.99,540.0,0,0.0,100.0,0.0,17.171717171717173,,GO
Aruba,ABW,2021,1.0,550.0,0,0.0,100.0,0.0,17.0,,GO
Aruba,ABW,2022,1.0,550.0,0,0.0,100.0,0.0,17.0,,GO
Australia,AUS,2020,265.15,170310.0,88.675359,33.44346935696776,66.55653064303223,134.7984271935283,24.242881387893647,,GO
Australia,AUS,2021,267.45,162050.0,39.872599,14.908431108618434,85.09156889138157,49.96979293386826,28.891381566647972,,I-REC
Australia,AUS,2022,272.92,157710.0,47.6689516232,17.466272762421223,82.53372723757877,53.16672418023788,32.03869265718892,,I-REC
Australia,AUS,2023,273.11,152050.0,52.122617858,19.0848441499762,80.91515585002381,53.623938001472595,34.810149756508366,,I-REC
Australia,AUS,2024,281.64,155960.0,48.7866842313,17.322356281529615,82.67764371847039,48.354489554914466,35.07669365146996,,I-REC
Austria,AUT,2020,69.04,9210.0,58.067795,84.10746668597912,15.89253331402088,86.17389029231325,80.2723059096176,,GO
Austria,AUT,2021,66.81,9030.0,49.379761,73.91073342314026,26.089266576859742,86.99418116490165,79.14982787007933,,GO
Austria,AUT,2022,64.50999999999999,9100.0,46.99922299999999,72.8557169431096,27.1442830568904,87.92024196747322,78.1584250503798,,GO
Austria,AUT,2023,70.78,7900.0,51.295184,72.47129697654704,27.528703023452962,79.5971230820547,84.7131958180277,,GO
Austria,AUT,2024,78.55,8070.0,61.817272,78.69799108847869,21.302008911521312,87.4378887094406,86.70910248249523,,GO
Azerbaijan,AZE,2020,25.75,17510.0,0,0.0,100.0,0.0,5.126213592233011,,GO
Azerbaijan,AZE,2021,27.790000000000003,18790.0,0,0.0,100.0,0.0,5.469593378913278,,GO
Azerbaijan,AZE,2022,28.940000000000005,19430.0,0,0.0,100.0,0.0,6.357982031789911,,GO
Azerbaijan,AZE,2023,29.089999999999996,19490.0,0,0.0,100.0,0.0,6.531454107940875,,GO
Azerbaijan,AZE,2024,28.03,17740.0,0,0.0,100.0,0.0,11.951480556546555,,GO
Bahamas,BHS,2020,2.03,1330.0,0,0.0,100.0,0.0,0.4926108374384237,,GO
Bahamas,BHS,2021,2.0399999999999996,1340.0,0,0.0,100.0,0.0,0.49019607843137264,,GO
Bahamas,BHS,2022,2.05,1340.0,0,0.0,100.0,0.0,0.9756097560975612,,GO
Bahrain,BHR,2020,33.38,30180.0,0,0.0,100.0,0.0,0.05991611743559017,,GO
Bahrain,BHR,2021,33.91,30640.0,0,0.0,100.0,0.0,0.11795930404010618,,GO
Bahrain,BHR,2022,35.68,32210.0,0,0.0,100.0,0.0,0.2242152466367713,,GO
Bahrain,BHR,2023,36.17,32640.0,0,0.0,100.0,0.0,0.24882499308819464,,GO
Bangladesh,BGD,2020,85.46,58020.0,0.046222,0.054086122162415165,99.94591387783758,3.6977599999999997,1.4626725953662534,,GO
Bangladesh,BGD,2021,95.65,64950.0,0.046942,0.04907684265551489,99.95092315734449,3.4771851851851854,1.4113957135389439,,GO
Bangladesh,BGD,2022,102.25,69170.0,0.0579510642,0.056675857408312956,99.94332414259169,3.6447210188679238,1.5550122249388754,,I-REC
Bangladesh,BGD,2023,106.16,72520.0,0.47324030109899995,0.44578023841277314,99.55421976158723,27.513970994127902,1.620195930670686,,I-REC
Bangladesh,BGD,2024,113.86,79090.0,0.876263140763,0.7695969969813807,99.23040300301862,37.93346929709957,2.028807307219392,,I-REC
Barbados,BRB,2020,1.06,650.0,0,0.0,100.0,0.0,6.60377358490566,,GO
Barbados,BRB,2021,1.06,640.0,0,0.0,100.0,0.0,7.547169811320755,,GO
Barbados,BRB,2022,1.09,660.0,0,0.0,100.0,0.0,7.339449541284402,,GO
Barbados,BRB,2023,1.1,660.0,0,0.0,100.0,0.0,8.18181818181818,,GO
Belarus,BLR,2020,38.53999999999999,19220.0,0,0.0,100.0,0.0,3.5028541774779454,,GO
Belarus,BLR,2021,41.24999999999999,17870.0,0,0.0,100.0,0.0,3.0787878787878795,,GO
Belarus,BLR,2022,37.18,16330.0,0,0.0,100.0,0.0,3.388918773534158,,GO
Belarus,BLR,2023,43.58,15880.0,0,0.0,100.0,0.0,3.0748049564020197,,GO
Belarus,BLR,2024,45.67,14780.0,0,0.0,100.0,0.0,3.1530545215677686,,GO
Belgium,BEL,2020,88.29,14710.0,7.01006,7.9398119832370595,92.06018801676294,29.893646055437095,26.560199343073965,,GO
Belgium,BEL,2021,99.39,13100.0,6.17283,6.210715363718684,93.78928463628131,27.145250659630605,22.879565348626624,,GO
Belgium,BEL,2022,94.33,13150.0,6.573768,6.9689049083006465,93.03109509169936,26.908587801882934,25.898441641047388,,GO
Belgium,BEL,2023,82.2,11090.0,8.449099,10.278709245742093,89.72129075425791,30.73517279010549,33.442822384428226,,GO
Belgium,BEL,2024,75.58,9100.0,6.799174,8.995996295316221,91.00400370468378,25.172802665679377,35.736967451706796,,GO
Belgium (Brussels),BEL,2020,0.0,0.0,0.142964,,100.0,,,,GO
Belgium (Brussels),BEL,2021,0.0,0.0,0.09086,,100.0,,,,GO
Belgium (Brussels),BEL,2022,0.0,0.0,0.083195,,100.0,,,,GO
Belgium (Brussels),BEL,2023,0.0,0.0,0.175533,,100.0,,,,GO
Belgium (Brussels),BEL,2024,0.0,0.0,0.126481,,100.0,,,,GO
Belgium (Flanders),BEL,2020,0.0,0.0,4.599003,,100.0,,,,GO
Belgium (Flanders),BEL,2021,0.0,0.0,3.283273,,100.0,,,,GO
Belgium (Flanders),BEL,2022,0.0,0.0,4.166749,,100.0,,,,GO
Belgium (Flanders),BEL,2023,0.0,0.0,5.714836,,100.0,,,,GO
Belgium (Flanders),BEL,2024,0.0,0.0,4.585922,,100.0,,,,GO
Belgium (Wallonia),BEL,2020,0.0,0.0,3.550236,,100.0,,,,GO
Belgium (Wallonia),BEL,2021,0.0,0.0,2.6486370000000004,,100.0,,,,GO
Belgium (Wallonia),BEL,2022,0.0,0.0,2.6621170000000003,,100.0,,,,GO
Belgium (Wallonia),BEL,2023,0.0,0.0,7.685747999999999,,100.0,,,,GO
Belgium (Wallonia),BEL,2024,0.0,0.0,4.188891,,100.0,,,,GO
Belize,BLZ,2020,0.44,70.0,0,0.0,100.0,0.0,88.63636363636364,,GO
Belize,BLZ,2021,0.36000000000000004,60.0,0,0.0,100.0,0.0,86.11111111111111,,GO
Belize,BLZ,2022,0.47,80.0,0,0.0,100.0,0.0,87.2340425531915,,GO
Belize,BLZ,2023,0.45,70.0,0,0.0,100.0,0.0,88.8888888888889,,GO
Benin,BEN,2020,0.99,590.0,0,0.0,100.0,0.0,1.0101010101010102,,GO
Benin,BEN,2021,1.1300000000000001,660.0,0,0.0,100.0,0.0,1.7699115044247788,,GO
Benin,BEN,2022,0.99,590.0,0,0.0,100.0,0.0,2.0202020202020203,,GO
Benin,BEN,2023,1.0,590.0,0,0.0,100.0,0.0,3.0,,GO
Bermuda,BMU,2020,0.59,380.0,0,0.0,100.0,0.0,1.694915254237288,,GO
Bermuda,BMU,2021,0.59,380.0,0,0.0,100.0,0.0,1.694915254237288,,GO
Bermuda,BMU,2022,0.63,410.0,0,0.0,100.0,0.0,1.5873015873015872,,GO
Bermuda,BMU,2023,0.64,410.0,0,0.0,100.0,0.0,1.5625,,GO
Bhutan,BTN,2020,11.37,270.0,0,0.0,100.0,0.0,100.0,,GO
Bhutan,BTN,2021,10.82,260.0,0,0.0,100.0,0.0,100.0,,GO
Bhutan,BTN,2022,10.77,260.0,0,0.0,100.0,0.0,100.0,,GO
Bhutan,BTN,2023,11.16,270.0,0,0.0,100.0,0.0,100.0,,GO
Bolivia,BOL,2020,10.27,4970.0,0,0.0,100.0,0.0,35.63777994157741,,GO
Bolivia,BOL,2021,10.870000000000001,5080.0,0,0.0,100.0,0.0,38.45446182152713,,GO
Bolivia,BOL,2022,11.67,5670.0,0,0.0,100.0,0.0,35.732647814910024,,GO
Bolivia,BOL,2023,11.94,5840.0,0,0.0,100.0,0.0,35.00837520938024,,GO
Bolivia,BOL,2024,12.35,5780.0,0,0.0,100.0,0.0,37.9757085020243,,GO
Bosnia Herzegovina,BIH,2020,16.79,11940.0,0,0.0,100.0,0.0,29.184038117927336,,GO
Bosnia Herzegovina,BIH,2021,18.41,11340.0,0,0.0,100.0,0.0,39.00054318305269,,GO
Bosnia Herzegovina,BIH,2022,16.35,11170.0,0,0.0,100.0,0.0,32.04892966360856,,GO
Bosnia Herzegovina,BIH,2023,16.87,10330.0,0,0.0,100.0,0.0,39.181979845880264,,GO
Bosnia Herzegovina,BIH,2024,15.159999999999998,9680.0,0,0.0,100.0,0.0,36.477572559366756,,GO
Botswana,BWA,2020,2.18,1850.0,0,0.0,100.0,0.0,0.45871559633027514,,GO
Botswana,BWA,2021,2.49,2110.0,0,0.0,100.0,0.0,0.4016064257028112,,GO
Botswana,BWA,2022,2.56,2170.0,0,0.0,100.0,0.0,0.390625,,GO
Botswana,BWA,2023,2.59,2200.0,0,0.0,100.0,0.0,0.3861003861003861,,GO
Brazil,BRA,2020,628.76,83850.0,7.661599,1.2185251924422673,98.78147480755773,1.465157002983248,83.16686812138177,,I-REC
Brazil,BRA,2021,656.4,110320.0,20.828561999999998,3.173150822669104,96.8268491773309,4.101160139405753,77.37202925045705,,I-REC
Brazil,BRA,2022,677.16,70010.0,34.63779368478399,5.11515648957174,94.88484351042825,5.832358464494098,87.7030539311241,,I-REC
Brazil,BRA,2023,708.12,68160.0,51.27437293851,7.2409157965471955,92.7590842034528,8.136335539838779,88.99480314071062,,I-REC
Brazil,BRA,2024,745.72,79090.0,62.750608828352,8.414768120521375,91.58523187947863,9.635262234491908,87.33304725634285,,I-REC
British Virgin Islands,VGB,2020,0.16,110.0,0,0.0,100.0,,0.0,,GO
British Virgin Islands,VGB,2021,0.17,110.0,0,0.0,100.0,,0.0,,GO
British Virgin Islands,VGB,2022,0.17,110.0,0,0.0,100.0,,0.0,,GO
British Virgin Islands,VGB,2023,0.17,110.0,0,0.0,100.0,,0.0,,GO
Brunei,BRN,2020,5.74,5140.0,0,0.0,100.0,,0.0,,GO
Brunei,BRN,2021,5.7,5100.0,0.001744,0.030596491228070177,99.96940350877193,,0.0,,I-REC
Brunei,BRN,2022,5.6,5000.0,0.0044203765,0.07893529464285715,99.92106470535714,,0.0,,I-REC
Brunei,BRN,2023,5.59,4990.0,0.005081778005,0.0909083721824687,99.90909162781753,,0.0,,I-REC
Brunei,BRN,2024,0.0,0.0,0.0022397759999999997,,100.0,,,,I-REC
Bulgaria,BGR,2020,40.14,15410.0,0,0.0,100.0,0.0,18.609865470852014,,GO
Bulgaria,BGR,2021,47.22,19610.0,0,0.0,100.0,0.0,21.83396865734858,,GO
